Theta,Phi
-27.621,-156.677
-27.574,-156.630
-27.482,-156.536
-27.436,-156.489
-27.390,-156.443
-27.343,-156.396
-27.297,-156.349
-27.251,-156.303
-27.205,-156.256
-27.158,-156.210
-27.112,-156.163
-27.066,-156.117
-26.973,-156.024
-26.927,-155.978
-26.880,-155.932
-26.834,-155.886
-26.787,-155.839
-26.741,-155.793
-26.694,-155.747
-26.601,-155.655
-26.555,-155.609
-26.508,-155.564
-26.462,-155.518
-26.415,-155.472
-26.369,-155.426
-26.322,-155.380
-26.275,-155.335
-26.229,-155.289
-26.182,-155.243
-26.089,-155.152
-26.042,-155.107
-25.995,-155.061
-25.948,-155.016
-25.902,-154.971
-25.855,-154.925
-25.808,-154.880
-25.761,-154.835
-25.714,-154.789
-25.668,-154.744
-25.574,-154.654
-25.527,-154.609
-25.480,-154.564
-25.433,-154.519
-25.386,-154.474
-25.339,-154.429
-25.292,-154.384
-25.245,-154.339
-25.198,-154.294
-25.104,-154.205
-25.057,-154.160
-25.010,-154.116
-24.962,-154.071
-24.916,-154.026
-24.868,-153.982
-24.821,-153.938
-24.774,-153.893
-24.727,-153.849
-24.680,-153.804
-24.585,-153.716
-24.538,-153.671
-24.491,-153.627
-24.443,-153.583
-24.396,-153.539
-24.349,-153.494
-24.301,-153.450
-24.254,-153.406
-24.207,-153.362
-24.159,-153.318
-24.065,-153.230
-24.017,-153.186
-23.970,-153.142
-23.922,-153.099
-23.875,-153.055
-23.828,-153.011
-23.780,-152.968
-23.732,-152.924
-23.685,-152.880
-23.638,-152.837
-23.542,-152.749
-23.495,-152.706
-23.447,-152.662
-23.399,-152.619
-23.352,-152.576
-23.304,-152.533
-23.257,-152.489
-23.209,-152.446
-23.161,-152.402
-23.114,-152.359
-23.018,-152.273
-22.970,-152.230
-22.922,-152.187
-22.875,-152.144
-22.827,-152.101
-22.779,-152.058
-22.731,-152.015
-22.684,-151.972
-22.636,-151.929
-22.540,-151.843
-22.492,-151.800
-22.444,-151.758
-22.396,-151.715
-22.349,-151.672
-22.301,-151.629
-22.253,-151.587
-22.205,-151.544
-22.157,-151.502
-22.109,-151.459
-22.061,-151.417
-21.965,-151.332
-21.917,-151.289
-21.869,-151.247
-21.821,-151.204
-21.772,-151.162
-21.724,-151.120
-21.676,-151.078
-21.628,-151.035
-21.580,-150.993
-21.484,-150.909
-21.436,-150.867
-21.388,-150.825
-21.339,-150.783
-21.291,-150.741
-21.243,-150.699
-21.194,-150.657
-21.146,-150.615
-21.098,-150.573
-21.050,-150.531
-20.953,-150.448
-20.905,-150.406
-20.857,-150.364
-20.808,-150.322
-20.760,-150.281
-20.711,-150.239
-20.663,-150.197
-20.615,-150.156
-20.566,-150.114
-20.518,-150.072
-20.421,-149.989
-20.373,-149.948
-20.324,-149.907
-20.276,-149.865
-20.227,-149.824
-20.179,-149.783
-20.130,-149.741
-20.082,-149.700
-20.033,-149.659
-19.936,-149.576
-19.888,-149.535
-19.839,-149.494
-19.791,-149.453
-19.742,-149.412
-19.693,-149.371
-19.645,-149.330
-19.596,-149.289
-19.548,-149.247
-19.499,-149.207
-19.401,-149.125
-19.353,-149.084
